"mensal","cota","afluencia","defluencia","vazao_vertida","vazao_turbinada","vazao_natural"
"2013-03",218.595454545455,13516.0554545455,12107.0909090909,0,12107.0909090909,17425.8509090909
"2013-04",220.197142857143,12937.4214285714,12602.1428571429,152.714285714286,12449.4285714286,19408.6557142857
"2013-05",219.511111111111,10021.6566666667,10753.1111111111,0,10753.1111111111,11023.5777777778
"2013-06",220.267857142857,17151.5528571429,16969.0714285714,5019.28571428571,11949.7857142857,19251.9664285714
"2013-07",220.354615384615,14855.2084615385,15258.5384615385,4138.76923076923,11119.7692307692,15103.8707692308
"2013-08",219.700833333333,9822.07416666667,10634.8333333333,0,10634.8333333333,8043.0475
"2013-09",219.0025,10051.29125,9777.875,0,9777.875,7120.034375
"2013-10",219.66,10829.9721428571,10950.2857142857,48.3571428571429,10901.9285714286,9813.15071428571
"2013-11",218.118333333333,9704.82,11165.5833333333,0,11165.5833333333,7505.485
"2013-12",216.636666666667,10271.2411111111,10898.5555555556,0,10898.5555555556,10301.7644444444
"2014-01",216.773333333333,10494.2333333333,12450,0,12450,8592.97666666667
"2014-02",215.882083333333,10713.5233333333,10877.625,0,10877.625,6961.35666666667
"2014-03",217.011851851852,10786.9003703704,9860.2962962963,0,9892.51851851852,11269.727037037
"2014-04",218.04,10864.1248148148,10181.4814814815,0,10181.4814814815,11323.6011111111
"2014-05",218.891481481481,9624.3162962963,9502.62962962963,0,9502.62962962963,9058.69925925926
"2014-06",220.158181818182,12622.6868181818,12289.4545454545,2427.63636363636,10254.6363636364,13446.3795454545
"2014-07",219.202962962963,8994.0162962963,9593.74074074074,0,9593.74074074074,8222.57444444444
"2014-08",217.5648,8252.8444,9238.68,0,9237.6,7008.542
"2014-09",216.833461538462,9181.225,8471.26923076923,0,8495.96153846154,7241.07615384615
"2014-10",218.039285714286,9670.42857142857,10340.3214285714,0,10331.6785714286,7675.42107142857
"2014-11",216.766153846154,9469.68230769231,8956.19230769231,0,8956.19230769231,6982.85423076923
"2014-12",216.743636363636,8989.30181818182,9467.09090909091,0,9467.09090909091,10443.88
"2015-01",217.195789473684,10093.7868421053,10526.3157894737,0,10526.3157894737,7473.26578947368
"2015-02",217.2025,10545.8014285714,9924.89285714286,0,9924.89285714286,11952.8982142857
"2015-03",217.756774193548,10351.0567741935,10731.5483870968,0,10731.5483870968,13971.5216129032
"2015-04",217.876333333333,9397.10866666667,9032.53333333333,0,9032.53333333333,12527.465
"2015-05",218.418064516129,9117.64935483871,8889.32258064516,0,8889.32258064516,11417.6661290323
"2015-06",218.709,8740.439,8735.56666666667,0,8731.16666666667,9607.89966666667
"2015-07",219.84,13171.7296774194,12327.0322580645,1581,10742.2903225806,15519.1083870968
"2015-08",219.379333333333,8249.22733333333,9204.3,0,9204.3,7928.78333333333
"2015-09",217.926666666667,8980.79033333333,9114.63333333333,0,9114.63333333333,9466.237
"2015-10",219.550967741935,12217.8187096774,11096.6129032258,211.225806451613,10885.3870967742,10550.2783870968
"2015-11",220.337,15262.5456666667,15129.4666666667,3947,11182.4666666667,15154.4546666667
"2015-12",220.154516129032,17985.1687096774,18311.8709677419,7212.1935483871,11099.6774193548,20295.1029032258
"2016-01",220.244838709677,20319.8348387097,20314.8064516129,8101.54838709677,12194.7741935484,27255.6080645161
"2016-02",220.253103448276,15516.4410344828,15111.4827586207,2315.03448275862,12796.4482758621,20170.9403448276
"2016-03",220.367419354839,18162.5680645161,18333.1290322581,6595.58064516129,11740.4516129032,21719.9225806452
"2016-04",219.821666666667,11759.5663333333,12397.9666666667,309.7,12088.2666666667,12152.4966666667
"2016-05",219.657741935484,12420.5274193548,11818.0967741935,430,11392.8709677419,12760.7983870968
"2016-06",220.310357142857,15079.0946428571,15249.5357142857,3095.28571428571,12165.3928571429,15916.5246428571
"2016-07",219.843666666667,11221.65,11594.9333333333,47.2666666666667,11547.6666666667,9976.48333333333
"2016-08",219.585714285714,12126.6232142857,11641.7857142857,537.178571428571,11077.5,10079.5839285714
"2016-09",219.880333333333,10901.427,11415.0333333333,104.1,11310.9333333333,8807.123
"2016-10",219.142666666667,11699.3716666667,11201.0666666667,96,11105.0666666667,8532.88633333333
"2016-11",219.597857142857,10420.9317857143,11165.8928571429,34.5357142857143,11131.3571428571,9146.66214285714
"2016-12",218.832333333333,11521.023,11739.0666666667,0,11739.0666666667,11618.2456666667
"2017-01",218.995333333333,11794.1296666667,11472.1666666667,0,11472.1666666667,12723.867
"2017-02",219.4475,12037.1107142857,12053.2857142857,0,12053.2857142857,15248.8707142857
"2017-03",219.017096774194,11120.5325806452,11270.2903225806,0,11270.2903225806,11840.7806451613
"2017-04",219.285,10004.505,9595.36666666667,0,9595.36666666667,10497.0786666667
"2017-05",219.692,10956.1073333333,10863.4,861.6,10001.8,12492.0146666667
"2017-06",220.084666666667,12777.6206666667,12761.9333333333,2534.5,10227.4333333333,13369.0743333333
"2017-07",219.55,8874.81066666667,9428.23333333333,0,9428.23333333333,7372.49333333333
"2017-08",218.985483870968,9227.61064516129,9145.87096774194,0,9145.87096774194,7106.80129032258
"2017-09",218.793666666667,9132.78166666667,9276.46666666667,0,9276.46666666667,5265.47133333333
"2017-10",218.703225806452,10953.2606451613,10804.5483870968,0,10804.5483870968,7047.63580645161
"2017-11",219.670344827586,12142.1920689655,12249.8620689655,62.4827586206897,12187.3793103448,13211.9713793103
"2017-12",219.167741935484,13138.6241935484,12578.2903225806,222.870967741935,12355.4193548387,14509.7670967742
"2018-01",219.99,16830.7848387097,16669.2258064516,3357.51612903226,13311.7096774194,22190.7716129032
"2018-02",220.107407407407,12567.0411111111,12578.6666666667,81.037037037037,12497.6296296296,15734.2362962963
"2018-03",220.225161290323,13928.7551612903,13806.6451612903,332.064516129032,13474.5806451613,16385.4025806452
"2018-04",220.029655172414,11206.4196551724,11476.1724137931,167.448275862069,11308.724137931,13032.8279310345
"2018-05",219.651333333333,8942.787,9024.96666666667,0,9024.96666666667,8312.789
"2018-06",219.483333333333,8311.23466666667,8458.53333333333,0,8458.53333333333,7501.94866666667
